45	163	253	365	1116	1413	1640	1701	1785	1938	2004	2046	2076	2377	2491	2609	2635	2910	2944	3083	3300	3323	3437	3876	3905	3996	4044	4551	4837	5036																																																																																																																																																																																																																																																											
46	795	3580	3631																																																																																																																																																																																																																																																																																					
47	958	983	1046	1055	1431	1942	2509	2749	2819	2852	2992	3224	3364	3683	3779	4083	4162	4525	5018																																																																																																																																																																																																																																																																					
48	1072	2724																																																																																																																																																																																																																																																																																						
49	480	1295	1769	2001	2255	2268	2362	3165	3306	3497	3634	3672	4002	4054	4775																																																																																																																																																																																																																																																																									
50	1413																																																																																																																																																																																																																																																																																							
51	612	3977																																																																																																																																																																																																																																																																																						
52	4674																																																																																																																																																																																																																																																																																							
53	1401	3198	3375	3422	3585	4504	31																																																																																																																																																																																																																																																																																	
54	2150	3167	4055																																																																																																																																																																																																																																																																																					
55	646	1014	1921	3655	4281	4455																																																																																																																																																																																																																																																																																		
56	1330	1696																																																																																																																																																																																																																																																																																						
57	2408	4569																																																																																																																																																																																																																																																																																						
58	288	1129	1409	1461	1757	3782	3885	4312																																																																																																																																																																																																																																																																																
59	1383																																																																																																																																																																																																																																																																																							
60	3885																																																																																																																																																																																																																																																																																							
61	3355	4055																																																																																																																																																																																																																																																																																						
62	5054																																																																																																																																																																																																																																																																																							
63	2219	2999	3753																																																																																																																																																																																																																																																																																					
64	5034																																																																																																																																																																																																																																																																																							
65	2747																																																																																																																																																																																																																																																																																							
66	1417	2039	2151																																																																																																																																																																																																																																																																																					
67	3661																																																																																																																																																																																																																																																																																							
68	1760	1920	2747	3537	3924	14																																																																																																																																																																																																																																																																																		
69	329	475	786	1409	1461	1678	3376	3416	3427	3672	4055	4488	13																																																																																																																																																																																																																																																																											
70	115	175	343	418	488	853	914	1189	1383	1592	2224	2432	2504	2597	2766	2819	2832	3141	4817																																																																																																																																																																																																																																																																					
71	175	204	247	263	300	309	361	522	598	616	827	878	955	1381	1397	1520	1522	1636	1765	2260	2452	2510	2556	2588	2622	2928	3385	3427	3554	3593	3626	3727	3807	3825	4157	4316	4899																																																																																																																																																																																																																																																			
72	138	2747	3216	3682	4765																																																																																																																																																																																																																																																																																			
73	353	476	479	650	796	810	869	881	888	899	958	1007	1025	1196	1341	1358	1414	1431	1450	1453	1463	1539	1581	1789	1835	2008	2061	2111	2171	2347	2429	2515	2635	2767	3051	3208	3210	3218	3334	3360	3498	3567	3647	3655	3691	3718	3727	3842	3920	3935	4068	4090	4175	4272	4371	4410	4423	4524	4564	4606	4646	4667	4669	4739	4868																																																																																																																																																																																																																							
74	183	795	973	1747	1830	2061	2171	2362	2369	2566	3422	3531	3578	3727	3963	4287	4310	4516	4775																																																																																																																																																																																																																																																																					
75	291	630	701	749	880	1409	1886	2076	2139	2265	2707	3578	3799	4084																																																																																																																																																																																																																																																																										
76	777	2111																																																																																																																																																																																																																																																																																						
77	78	79	278	308	328	510	759	1137	1278	1297	1703	1817	1854	2060	2157	2309	2320	2400	2477	2487	2561	2702	2966	3075	3144	3308	3559	3753	3846	3860	4001	4269	4372	4598	4776	5035	28																																																																																																																																																																																																																																																			
78	328	1075	1683	1849	2136	2662	3580	3630	4924	5035	77																																																																																																																																																																																																																																																																													
79	2747	77																																																																																																																																																																																																																																																																																						
80	245	380	473	535	636	2215	2681	2747	3100																																																																																																																																																																																																																																																																															
81	1639	2039	2111	2946	3100	4761	5091																																																																																																																																																																																																																																																																																	
82	1072	1863	3378	3457	3513																																																																																																																																																																																																																																																																																			
83	1419	1976	3286	3472	3672																																																																																																																																																																																																																																																																																			
84	2724																																																																																																																																																																																																																																																																																							
85	281	1656																																																																																																																																																																																																																																																																																						
86	858	3252	3672	5002																																																																																																																																																																																																																																																																																				
87	3661																																																																																																																																																																																																																																																																																							
88	4878																																																																																																																																																																																																																																																																																							
89	3519																																																																																																																																																																																																																																																																																							
90	773	3458	4339																																																																																																																																																																																																																																																																																					
91	1220	1372	4055	4755																																																																																																																																																																																																																																																																																				
92	287	406	543	773	898	1206	1437	1793	1848	1861	2289	2339	2413	2500	2746	2991	3027	3189	3664	3707	3955	4030	4118	4251	4287	4313	4333	4472	4546	4623	4764	4942	5073	5087																																																																																																																																																																																																																																																						
93	201	555	751	4249	4287	4829																																																																																																																																																																																																																																																																																		
94	126	316	408	412	504	555	773	846	1027	1384	1401	1884	2003	2198	2563	3061	3189	3924	3992	4136	4358	4734	5045																																																																																																																																																																																																																																																																	
95	365	519	577	944	1124																																																																																																																																																																																																																																																																																			
96	3661																																																																																																																																																																																																																																																																																							
97	1203																																																																																																																																																																																																																																																																																							
98	125	135	165	182	236	272	280	309	321	370	411	461	479	482	492	535	577	582	587	593	615	670	694	713	718	764	766	940	1020	1025	1119	1124	1150	1228	1301	1323	1334	1336	1409	1417	1431	1446	1493	1558	1567	1625	1683	1747	1761	1772	1789	1790	1953	2009	2021	2046	2071	2083	2128	2219	2374	2388	2429	2439	2449	2453	2456	2477	2488	2500	2600	2603	2648	2766	2767	2847	2865	3006	3014	3069	3081	3091	3180	3193	3202	3207	3217	3251	3257	3286	3300	3396	3418	3443	3498	3587	3602	3614	3620	3722	3752	3787	3839	3890	3916	3968	3977	3989	3995	4014	4020	4026	4034	4045	4090	4138	4215	4268	4410	4465	4527	4550	4606	4640	4646	4696	4711	4718	4723	4766	4833	4905	4908	4957	4971	5004	5058	5069	17																																																																																																																																													
99	447	468	1384	1966	2578	2625	4403	4611																																																																																																																																																																																																																																																																																
100	635	1450	1701	1884	2226	2971	3290	4278	4387	4568																																																																																																																																																																																																																																																																														
101	3006																																																																																																																																																																																																																																																																																							
102	329																																																																																																																																																																																																																																																																																							
103	2073	2503	4509																																																																																																																																																																																																																																																																																					
104	2699	2729	3682	5020																																																																																																																																																																																																																																																																																				
105	163	257	694	729	884	973	1189	1196	1378	1413	1463	1570	1644	1728	1744	1889	2118	2193	2264	2447	2545	3422	3441	3621	3873	3944	4350	4475	4739	5025																																																																																																																																																																																																																																																										
106	1158	3390	3791	4527	4739																																																																																																																																																																																																																																																																																			
107	335	2150																																																																																																																																																																																																																																																																																						
108	1252																																																																																																																																																																																																																																																																																							
109	5002																																																																																																																																																																																																																																																																																							
110	155	468	749	1212	1403	1789	2075	2707	2772	3564	3952	4669																																																																																																																																																																																																																																																																												
111	1837	2362	3277	3551	4490																																																																																																																																																																																																																																																																																			
